Title	mainLabel	metascore
Boyhood	DRAMA	100
Best Kept Secret	DRAMA	100
Three Colors: Red	DRAMA	100
Dekalog	DRAMA	100
Fanny and Alexander	DRAMA	100
Moonlight	DRAMA	99
Shoah	WAR	99
Hoop Dreams	DRAMA	98
4 Months 3 Weeks and 2 Days	DRAMA	97
My Left Foot	DRAMA	97
Parasite	COMEDY	96
Roma	DRAMA	96
Manchester by the Sea	DRAMA	96
Gravity	DRAMA	96
12 Years a Slave	DRAMA	96
Ratatouille	COMEDY	96
Days of Being Wild	DRAMA	96
Ran	DRAMA	96
Portrait of a Lady on Fire	DRAMA	95
I Am Not Your Negro	DOCUMENTARY	95
Virunga	WAR	95
Zero Dark Thirty	DRAMA	95
A Separation	DRAMA	95
The Social Network	DRAMA	95
The Hurt Locker	DRAMA	95
WALL·E	ANIMATION	95
Toy Story	COMEDY	95
Beauty and the Beast	ANIMATION	95
L'Argent	DRAMA	95
The Irishman	DRAMA	94
Marriage Story	COMEDY	94
Amazing Grace	MUSIC	94
Faces Places	DOCUMENTARY	94
Dunkirk	DRAMA	94
Lady Bird	COMEDY	94
La La Land	COMEDY	94
Carol	DRAMA	94
Inside Out	COMEDY	94
45 Years	DRAMA	94
Mr. Turner	DRAMA	94
Before Midnight	DRAMA	94
Amour	DRAMA	94
First Cousin Once Removed	DOCUMENTARY	94
We Were Here	BIOGRAPHY	94
Carlos	DRAMA	94
The Lord of the Rings: The Return of the King	DRAMA	94
Pulp Fiction	DRAMA	94
Schindler's List	DRAMA	94
Grave of the Fireflies	DRAMA	94
The Burial of Kojo	DRAMA	93
Shoplifters	DRAMA	93
Call Me by Your Name	DRAMA	93
Toni Erdmann	COMEDY	93
Sherpa	DOCUMENTARY	93
Spotlight	DRAMA	93
Inside Llewyn Davis	COMEDY	93
Sita Sings the Blues	COMEDY	93
There Will Be Blood	DRAMA	93
Crumb	COMEDY	93
Reversal of Fortune	DRAMA	93
The Decline of Western Civilization	MUSIC	93
Sunday's Illness	DRAMA	92
The Rider	DRAMA	92
Let It Fall: Los Angeles 1982-1992	HISTORY	92
The Florida Project	DRAMA	92
Tower	ANIMATION	92
One More Time with Feeling	MUSIC	92
Leviathan	DRAMA	92
Timbuktu	DRAMA	92
The Look of Silence	BIOGRAPHY	92
Out of the Clear Blue Sky	DOCUMENTARY	92
Toy Story 3	COMEDY	92
The Class	DRAMA	92
35 Shots of Rum	DRAMA	92
The Diving Bell and the Butterfly	DRAMA	92
The Lord of the Rings: The Fellowship of the Ring	DRAMA	92
Maborosi	DRAMA	92
Brother's Keeper	CRIME	92
Do the Right Thing	COMEDY	92
Platoon	DRAMA	92
This Is Spinal Tap	COMEDY	92
