Title	mainLabel	metascore
Best Kept Secret	DRAMA	100
Boyhood	DRAMA	100
Moonlight	DRAMA	99
4 Months 3 Weeks and 2 Days	DRAMA	97
Ratatouille	COMEDY	96
Gravity	DRAMA	96
12 Years a Slave	DRAMA	96
Manchester by the Sea	DRAMA	96
Roma	DRAMA	96
Parasite	COMEDY	96
The Hurt Locker	DRAMA	95
WALL·E	ANIMATION	95
The Social Network	DRAMA	95
A Separation	DRAMA	95
Zero Dark Thirty	DRAMA	95
Virunga	WAR	95
I Am Not Your Negro	DOCUMENTARY	95
Portrait of a Lady on Fire	DRAMA	95
The Lord of the Rings: The Return of the King	DRAMA	94
Carlos	DRAMA	94
We Were Here	BIOGRAPHY	94
Amour	DRAMA	94
First Cousin Once Removed	DOCUMENTARY	94
Before Midnight	DRAMA	94
Mr. Turner	DRAMA	94
Inside Out	COMEDY	94
Carol	DRAMA	94
45 Years	DRAMA	94
La La Land	COMEDY	94
Lady Bird	COMEDY	94
Dunkirk	DRAMA	94
Faces Places	DOCUMENTARY	94
Amazing Grace	MUSIC	94
The Irishman	DRAMA	94
Marriage Story	COMEDY	94
There Will Be Blood	DRAMA	93
Sita Sings the Blues	COMEDY	93
Inside Llewyn Davis	COMEDY	93
Spotlight	DRAMA	93
Sherpa	DOCUMENTARY	93
Toni Erdmann	COMEDY	93
Call Me by Your Name	DRAMA	93
The Burial of Kojo	DRAMA	93
Shoplifters	DRAMA	93
The Lord of the Rings: The Fellowship of the Ring	DRAMA	92
The Diving Bell and the Butterfly	DRAMA	92
The Class	DRAMA	92
35 Shots of Rum	DRAMA	92
Toy Story 3	COMEDY	92
Out of the Clear Blue Sky	DOCUMENTARY	92
Leviathan	DRAMA	92
Timbuktu	DRAMA	92
The Look of Silence	BIOGRAPHY	92
Tower	ANIMATION	92
One More Time with Feeling	MUSIC	92
The Florida Project	DRAMA	92
The Rider	DRAMA	92
Let It Fall: Los Angeles 1982-1992	HISTORY	92
Sunday's Illness	DRAMA	92
No Country for Old Men	DRAMA	91
Waltz with Bashir	ANIMATION	91
Nostalgia for the Light	DOCUMENTARY	91
The Gatekeepers	WAR	91
Stories We Tell	DOCUMENTARY	91
The Act of Killing	CRIME	91
Ida	DRAMA	91
Son of Saul	DRAMA	91
Taxi	COMEDY	91
Ex Libris: New York Public Library	DOCUMENTARY	91
Over the Limit	SPORT	91
The Favourite	COMEDY	91
A Bread Factory Part One	COMEDY	91
A Bread Factory Part Two	COMEDY	91
They Shall Not Grow Old	WAR	91
The Souvenir	DRAMA	91
Persepolis	DRAMA	90
A Prophet	DRAMA	90
Winter's Bone	DRAMA	90
My Perestroika	FAMILY	90
This Is Not a Film	DOCUMENTARY	90
The Girls in the Band	BIOGRAPHY	90
It's Such a Beautiful Day	COMEDY	90
Her	DRAMA	90
American Hustle	DRAMA	90
Hard to Be a God	DRAMA	90
Big Men	DOCUMENTARY	90
Gett	DRAMA	90
Mad Max: Fury Road	ADVENTURE	90
The Fits	DRAMA	90
Paths of the Soul	DRAMA	90
I Called Him Morgan	DRAMA	90
Paterson	COMEDY	90
Phantom Thread	DRAMA	90
The Tale	DRAMA	90
Cold War	DRAMA	90
Burning	DRAMA	90
Minding the Gap	DOCUMENTARY	90
System Crasher	DRAMA	90
No End in Sight	WAR	89
Still Walking	DRAMA	89
Goodbye Solo	DRAMA	89
Man on Wire	BIOGRAPHY	89
The Artist	COMEDY	89
The Tale of The Princess Kaguya	DRAMA	89
The Winding Stream	FAMILY	89
Two Days One Night	DRAMA	89
Phoenix	DRAMA	89
The Overnighters	DRAMA	89
National Gallery	DOCUMENTARY	89
Uncertain	COMEDY	89
Western	WESTERN	89
Elle	DRAMA	89
Zama	DRAMA	89
Columbus	DRAMA	89
Eighth Grade	COMEDY	89
Dead Souls	HISTORY	89
